"style","code","label","processed"
"Always surround these binary operators with a single space on either side: assignment (=), augmented assignment (+=, -= etc.), comparisons (==, <, >, !=, <>, <=, >=, in, not in, is, is not), Booleans (and, or, not). If operators with different priorities are used, consider adding whitespace around the operators with the lowest priority(ies). Use your own judgment; however, never use more than one space, and always have the same amount of whitespace on both sides of a binary operator","i=i+1
submitted +=1
x = x * 2 - 1
hypot2 = x * x + y * y
c = (a + b) * (a - b)","wrong","True"
"Function annotations should use the normal rules for colons and always have spaces around the -> arrow if present. (See Function Annotations below for more about function annotations.):","def munge(input:AnyStr)->PosInt:","wrong","True"
"Don�t use spaces around the = sign when used to indicate a keyword argument, or when used to indicate a default value for an unannotated function parameter:","def complex(real, imag = 0.0):
    return magic(r = real, i = imag)","wrong","True"
"When combining an argument annotation with a default value, however, do use spaces around the = sign:","def munge(input: AnyStr=None):
def munge(input: AnyStr, limit = 1000):","wrong","True"
"Compound statements (multiple statements on the same line) are generally discouraged:","if foo == 'blah': do_blah_thing()
do_one(); do_two(); do_three()","wrong","True"
"Trailing commas are usually optional, except they are mandatory when making a tuple of one element. For clarity, it is recommended to surround the latter in (technically redundant) parentheses:","FILES = 'setup.cfg',","wrong","True"
"However it does not make sense to have a trailing comma on the same line as the closing delimiter (except in the case of singleton tuples):","FILES = ['setup.cfg', 'tox.ini',]
initialize(FILES, error=True,)","wrong","True"
"the """""" that ends a multiline docstring should be on a line by itself","""""""Return a foobang

Optional plotz says to frobnicate the bizbaz first.""""""","wrong","True"
"Use is not operator rather than not ... is. While both expressions are functionally identical, the former is more readable and preferred:","if not foo is None:","wrong","True"
"Always use a def statement instead of an assignment statement that binds a lambda expression directly to an identifier:","f = lambda x: 2*x","wrong","True"
"When catching exceptions, mention specific exceptions whenever possible instead of using a bare except: clause:","try:
    import platform_specific_module
except:
    platform_specific_module = None","wrong","True"
"Additionally, for all try/except clauses, limit the try clause to the absolute minimum amount of code necessary. Again, this avoids masking bugs:","try:
    # Too broad!
    return handle_value(collection[key])
except KeyError:
    # Will also catch KeyError raised by handle_value()
    return key_not_found(key)","wrong","True"
"Context managers should be invoked through separate functions or methods whenever they do something other than acquire and release resources:","with conn:
    do_stuff_in_transaction(conn)","wrong","True"
"Be consistent in return statements. Either all return statements in a function should return an expression, or none of them should. If any return statement returns an expression, any return statements where no value is returned should explicitly state this as return None, and an explicit return statement should be present at the end of the function (if reachable):","def foo(x):
    if x >= 0:
        return math.sqrt(x)

def bar(x):
    if x < 0:
        return
    return math.sqrt(x)","wrong","True"
"Use ''.startswith() and ''.endswith() instead of string slicing to check for prefixes or suffixes. startswith() and endswith() are cleaner and less error prone:","if foo[:3] == 'bar':","wrong","True"
"Object type comparisons should always use isinstance() instead of comparing types directly:","if type(obj) is type(1):","wrong","True"
"For sequences, (strings, lists, tuples), use the fact that empty sequences are false","if len(seq):
if not len(seq):","wrong","True"
"Don�t compare boolean values to True or False using ==","if greeting == True:","wrong","True"
"Annotations for module level variables, class and instance variables, and local variables should have a single space after the colon. There should be no space before the colon. If an assignment has a right hand side, then the equality sign should have exactly one space on both sides:","code:int 
code : int

class Test:
    result: int=0","wrong","True"
