"style","code","label","processed"
"No extra indentation (same level of indent).","if (sun_shining and
    birds_chirping):
","correct","True"
"No extra indentation (same level of indent).","if (data_loaded and
    no_errors_found):
","correct","True"
"No extra indentation (same level of indent).","if (engine_running and
    oil_checked):
","correct","True"
"No extra indentation (same level of indent).","if (doors_closed and
    lights_on):
","correct","True"
"No extra indentation (same level of indent).","if (fridge_full and
    milk_cold):","correct","True"
"Add some extra indentation on the conditional continuation line.","if (item_is_available
        and cart_is_not_full):
","correct","True"
"Add some extra indentation on the conditional continuation line.","if (user_is_authenticated
        and access_is_granted):
","correct","True"
"Add some extra indentation on the conditional continuation line.","if (file_exists
        and not file_is_corrupted):
","correct","True"
"Add some extra indentation on the conditional continuation line.","if (connection_is_secure
        and received_data_is_valid):
","correct","True"
"Add some extra indentation on the conditional continuation line.","if (order_is_processed
        and payment_is_complete):
","correct","True"
"Add some extra indentation on the conditional continuation line.","if (day_is_sunny
        and park_is_open):
","correct","True"
"Add some extra indentation on the conditional continuation line.","if (license_is_active
        and user_is_compliant):
","correct","True"
"Add some extra indentation on the conditional continuation line.","if (memory_is_sufficient
        and disk_space_is_enough):
","correct","True"
"Add some extra indentation on the conditional continuation line.","if (temperature_is_optimal
        and humidity_is_within_range):
","correct","True"
"Add some extra indentation on the conditional continuation line.","if (app_is_installed
        and service_is_running):
","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","ages_tuple = (
    45, 34, 23,
    32, 52, 67,
)
","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","color_dict = {
    'red': 1, 'blue': 2,
    'green': 3, 'yellow': 4,
}
","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","coords_list = [
    (1, 2), (3, 4),
    (5, 6), (7, 8),
]
","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","inventory_dict = {
    'apples': 120, 'oranges': 80,
    'bananas': 150, 'grapes': 90,
}
","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","scores_tuple = (
    76, 89, 92,
    85, 72, 88,
)
","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","user_ids = [
    101, 102, 103,
    104, 105, 106,
]
","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","price_list = [
    2.99, 5.49, 1.89,
    9.99, 0.99, 7.49,
]
","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","status_codes = {
    200: 'Success', 404: 'Not Found',
    500: 'Server Error', 302: 'Redirect',
}
","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","shapes_tuple = (
    'circle', 'square', 'triangle',
    'rectangle', 'pentagon',
)
","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","months = [
    'January', 'February', 'March',
    'April', 'May', 'June',
]","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","output = calculate_sum(
    'one', 'two', 'three',
    'four', 'five', 'six',
)
","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","data = fetch_records(
    'id', 'info', 'type',
    'date', 'status', 'source',
)
","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","response = handle_request(
    'user', 'email', 'password',
    'session', 'auth', 'profile',
)
","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","config = set_configuration(
    'mode', 'state', 'level',
    'type', 'zone', 'setting',
)
","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","values = compute_totals(
    'item', 'cost', 'count',
    'tax', 'total', 'net',
)
","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","details = get_information(
    'part', 'batch', 'code',
    'size', 'label', 'rule',
)
","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","result = process_input(
    'char', 'code', 'symbol',
    'format', 'style', 'flow',
)
","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","readings = collect_data(
    'temp', 'press', 'humid',
    'speed', 'point', 'value',
)
","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","status = check_system(
    'check', 'alert', 'collect',
    'manage', 'status', 'config',
)
","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","notes = gather_feedback(
    'rate', 'review', 'comment',
    'user', 'quality', 'score',
)","correct","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def process_data(
        input_data, output_data,
            processed_data, result_data):
","wrong","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def calculate_values(
       value1, value2, 
           value3, long_value4):
","wrong","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def create_user_profile(
         firstname, lastname,
        username, password, email):
","wrong","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def connect_database(
        host, port, 
     dbname, user, password):
","wrong","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def draw_shape(
        center_point, edge_length, 
            number_of_sides, color):
","wrong","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def send_email(
         recipient, sender, 
        subject, body, cc, bcc):
","wrong","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def start_engine(
         model, make, 
           year, horsepower):
","wrong","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def mix_ingredients(
        dry, wet, 
            flavoring, toppings):
","wrong","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def upload_document(
        file_path,
            metadata, destination_folder):
","wrong","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def add_numbers(
        num1, num2, 
    num3, very_long_number_name):","wrong","True"
"Hanging indents should add a level.","resultA = calculate_maximum_result(
valueX, valueY, 
valueZ, anOptionalFlag)
","wrong","True"
"Hanging indents should add a level.","compute_values = parse_data_through_network(
   dataInput, networkStatus, 
outputLocation, lastAccessTime)
","wrong","True"
"Hanging indents should add a level.","minimum_find = get_minimum_value(
aParameter, bParameter, cParameter,
dParameter)
","wrong","True"
"Hanging indents should add a level.","analyze_data = start_data_analysis(
inputSet1, inputSet2,
  controlValue, experimentValue)
","wrong","True"
"Hanging indents should add a level.","match_patterns = pattern_recognition_algorithm(
    pattern1, pattern2, pattern3,
pattern4)
","wrong","True"
"Hanging indents should add a level.","extract_features = feature_extraction_method(
testInput, processStatus,
          resultOutput, flagsUsed)
","wrong","True"
"Hanging indents should add a level.","launch_simulation = init_simulation_config(
configParam, simDetail, ongoingStatus, finalResult)
","wrong","True"
"Hanging indents should add a level.","calculate_statistics = generate_stats(
stat_input_one, stat_input_two, 
    stat_input_three, finalStat)
","wrong","True"
"Hanging indents should add a level.","init_process = load_process_env(
       environmentVars, userConfigs, 
systemSettings, loadBalancer)
","wrong","True"
"Hanging indents should add a level.","merge_datasets = combine_datasets_function(
    datasetOne, datasetTwo,
              metadataInfo, mergeOptions)
--","wrong","True"
"No extra indentation (same level of indent).","if (check_one_condition and
 check_other_condition):
","wrong","True"
"No extra indentation (same level of indent).","if (is_valid_entry and
   is_not_duplicate_entry):
","wrong","True"
"No extra indentation (same level of indent).","if (user_active and
user_has_permissions):
","wrong","True"
"No extra indentation (same level of indent).","if (validate_input(data) and
     ensure_data_security(data)):
","wrong","True"
"No extra indentation (same level of indent).","if (data_is_ready and
		process_data_now()):
","wrong","True"
"No extra indentation (same level of indent).","if (can_proceed() and
     is_safe_operation()):
","wrong","True"
"No extra indentation (same level of indent).","if (model_is_trained and
			  generate_predictions()):
","wrong","True"
"No extra indentation (same level of indent).","if (send_data_available and
	send_data()):
","wrong","True"
"No extra indentation (same level of indent).","if (data_clean and
		        pass_checks()):
","wrong","True"
"No extra indentation (same level of indent).","if (user_authenticated and
			user_not_restricted()):","wrong","True"
"Add some extra indentation on the conditional continuation line.","if (check_this_value
     and compare_with_that):
","wrong","True"
"Add some extra indentation on the conditional continuation line.","if (item_is_available
and quantity_is_sufficient):
","wrong","True"
"Add some extra indentation on the conditional continuation line.","if (user_is_active
  and account_is_verified):
","wrong","True"
"Add some extra indentation on the conditional continuation line.","if (x < y
and x > 0):
","wrong","True"
"Add some extra indentation on the conditional continuation line.","if (valid_response
       and contains_required_data):
","wrong","True"
"Add some extra indentation on the conditional continuation line.","if (received_signal
and is_within_range):
","wrong","True"
"Add some extra indentation on the conditional continuation line.","if (window_is_open
     and door_is_locked):
","wrong","True"
"Add some extra indentation on the conditional continuation line.","if (has_all_permissions
and not is_restricted):
","wrong","True"
"Add some extra indentation on the conditional continuation line.","if (variable_one
   and variable_two):
","wrong","True"
"Add some extra indentation on the conditional continuation line.","if (data_is_loaded
and data_is_valid):","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","config_settings = {
    'setting1': True,
      'setting2': False,
  }

","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","user_ids = [
    101, 102, 103,
   104, 105, 106,
        ]

","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","fruit_basket = [
     'apple', 'banana', 'cherry',
    'date', 'elderberry', 'fig']

","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","scores = {
  'Alice': 88, 'Bob': 92,
    'Charlie': 85,
  }

","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","process_data = (
    300, 450,
  675,
        )

","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","employee_info = {
    'Name': 'John',
    'Age': 30,
    'Department': 'HR',
        }

","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","names_list = [
    'Sarah', 'Lora',
     'Michael', 'Tom',
]

","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","event_days = {
    'Monday': ['Lecture', 'Seminar'],
    'Tuesday': ['Workshop'],
        }

","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","object_types = (
    int, float, str,
    dict, list, tuple,
                )

","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","parameter_ranges = {
    'param1': [1, 20],
  'param2': [30, 60],
    'param3': [70, 100],
  }","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","calculation = calculate_total_sum(
    123, 456, 789,
     101112, 131415, 161718,
    )
","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","output = fetch_data_records(
    ""alpha"", ""beta"", ""gamma"",
   ""delta"", ""epsilon"", ""zeta"",
    )
","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","response = process_user_input(
    ""username"", ""password"", ""email"",
      ""dob"", ""city"", ""country"",
    )
","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","final_score = compute_scores(
    ""math"", ""science"", ""literature"",
            ""history"", ""geography"", ""arts"",
    )
","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","transformed_data = transform_data_set(
    ""input"", ""output"", ""temp"",
  ""intermediate"", ""final"", ""result"",
    )
","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","metadata = extract_metadata_from(
    'title', 'author', 'publisher',
   'year', 'ISBN', 'genre',
      )
","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","connection_details = get_connection_params(
    ""host"", ""port"", ""database"",
  ""user"", ""password"", ""options"",
    )
","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","content = load_website_content(
    ""url"", ""timeout"", ""user_agent"",
  ""headers"", ""cookies"", ""proxy"",
    )
","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","record = create_db_record(
    ""first_name"", ""last_name"", ""email"",
     ""age"", ""occupation"", ""nationality"",
    )
","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","result = query_database(
    'table', 'columns', 'conditions',
      'group_by', 'order_by', 'limit',
    )","wrong","True"
"Aligned with opening delimiter.","calculate_sum(val_a, val_b,
              val_c)
","correct","True"
"Aligned with opening delimiter.","process_data(dataItem, configFile,
             envSettings, userPrefs)
","correct","True"
"Aligned with opening delimiter.","transform_values(x, y,
                 z, w, t)
","correct","True"
"Aligned with opening delimiter.","set_parameters(paramX, paramY,
               paramZ)","correct","True"
"Aligned with opening delimiter.","initialize_config(config, environment,
                  user, session_id)
","correct","True"
"Aligned with opening delimiter.","connect_database(databaseUri, credentials,
                 timeout)
","correct","True"
"Aligned with opening delimiter.","extract_features(feature, detailLevel,
                 extractionMethod)
","correct","True"
"Aligned with opening delimiter.","create_user(username, password,
            email, firstName, lastName)
","correct","True"
"Aligned with opening delimiter.","update_record(recordID, newData,
              oldData)
","correct","True"
"Aligned with opening delimiter.","submit_query(queryText, connectionDetails,
             options)","correct","True"
"Aligned with opening delimiter.","bar = alternate_function(more_arg1, more_a2rg,

                        arg3, ar4)
","wrong","True"
"Aligned with opening delimiter.","data = random_function_name(
        long_parameter1, xp, sys_arg, env_data, auth_code)
","wrong","True"
"Aligned with opening delimiter.","result = helper_tool(first_param, 
                       second_param, 
                       third_param, fourth_param)
","wrong","True"
"Aligned with opening delimiter.","value = complex_calculation(a1, a23, data_is_4m,
                             additional_param)","wrong","True"
"Aligned with opening delimiter.","config = longer_function_name(first_input, 
                       second_input, third, fourth_input_param, fifth_input_param)
","wrong","True"
"Aligned with opening delimiter.","x = processed_data(item1, 
    another2, last_param)
","wrong","True"
"Aligned with opening delimiter.","calc = analyze_data(long_var1, long_var2,
        med_var, shrt, final_var)
","wrong","True"
"Aligned with opening delimiter.","greet = message_preparation(name, designation,
       greeting_line)
","wrong","True"
"Aligned with opening delimiter.","response = api_request(param_one, param_two,
                    param_three)
","wrong","True"
"Aligned with opening delimiter.","values = compute_sum(one, 
                 second, three, final_val)","wrong","True"
