"style","code","aspects","label","processed"
"Trailing commas are usually optional, except they are mandatory when making a tuple of one element. For clarity, it is recommended to surround the latter in (technically redundant) parentheses:","FILES = ('setup.cfg',)","n","correct","True"
"However it does not make sense to have a trailing comma on the same line as the closing delimiter (except in the case of singleton tuples):","FILES = [
    'setup.cfg',
    'tox.ini',
    ]
initialize(FILES,
           error=True,
           )","n/cl","correct","True"
"the """""" that ends a multiline docstring should be on a line by itself","""""""Return a foobang

Optional plotz says to frobnicate the bizbaz first.
""""""","s","correct","True"
"Use is not operator rather than not ... is. While both expressions are functionally identical, the former is more readable and preferred:","if foo is not None:","n/exp","correct","True"
"Always use a def statement instead of an assignment statement that binds a lambda expression directly to an identifier:","def f(x): return 2*x","fs/exp","correct","True"
"When catching exceptions, mention specific exceptions whenever possible instead of using a bare except: clause:","try:
    import platform_specific_module
except ImportError:
    platform_specific_module = None","n/exc","correct","True"
"Additionally, for all try/except clauses, limit the try clause to the absolute minimum amount of code necessary. Again, this avoids masking bugs:","try:
    value = collection[key]
except KeyError:
    return key_not_found(key)
else:
    return handle_value(value)","n/exc","correct","True"
"Context managers should be invoked through separate functions or methods whenever they do something other than acquire and release resources:","with conn.begin_transaction():
    do_stuff_in_transaction(conn)","n","correct","True"
"Be consistent in return statements. Either all return statements in a function should return an expression, or none of them should. If any return statement returns an expression, any return statements where no value is returned should explicitly state this as return None, and an explicit return statement should be present at the end of the function (if reachable):","def foo(x):
    if x >= 0:
        return math.sqrt(x)
    else:
        return None

def bar(x):
    if x < 0:
        return None
    return math.sqrt(x)","n/fs/exp","correct","True"
"Use ''.startswith() and ''.endswith() instead of string slicing to check for prefixes or suffixes. startswith() and endswith() are cleaner and less error prone:","if foo.startswith('bar'):","n/exp","correct","True"
"Object type comparisons should always use isinstance() instead of comparing types directly:","if isinstance(obj, int):","n/t","correct","True"
"For sequences, (strings, lists, tuples), use the fact that empty sequences are false","if not seq:
if seq:","n/cl","correct","True"
"Don�t compare boolean values to True or False using ==","if greeting:","n/st/exp","correct","True"
"Annotations for module level variables, class and instance variables, and local variables should have a single space after the colon. There should be no space before the colon. If an assignment has a right hand side, then the equality sign should have exactly one space on both sides:","code: int

class Point:
    coords: Tuple[int, int]
    label: str = '<unknown>'","n/t","correct","True"
